factor,cat,dir,table,ic_full,ir_full,ic_base,ir_base,ic_rec,ir_rec,verdict
return_5d,动量,1,classic,-0.0287,-0.199,-0.0271,-0.188,-0.0332,-0.233,KEEP
return_10d,动量,1,classic,-0.0343,-0.236,-0.0319,-0.22,-0.0414,-0.283,KEEP
return_20d,动量,1,classic,-0.0454,-0.291,-0.0405,-0.26,-0.0597,-0.382,KEEP
return_60d,动量,1,classic,-0.048,-0.286,-0.0449,-0.254,-0.057,-0.411,KEEP
return_120d,动量,1,classic,-0.0399,-0.241,-0.0373,-0.221,-0.0471,-0.302,KEEP
excess_return_20d,动量,1,classic,-0.0454,-0.291,-0.0405,-0.26,-0.0597,-0.382,KEEP
volatility_10d,波动率,-1,classic,-0.0732,-0.43,-0.0776,-0.486,-0.0601,-0.305,KEEP
volatility_20d,波动率,-1,classic,-0.0716,-0.387,-0.0771,-0.447,-0.0555,-0.255,KEEP
volatility_60d,波动率,-1,classic,-0.0612,-0.3,-0.0689,-0.361,-0.0387,-0.165,KEEP
volatility_120d,波动率,-1,classic,-0.0547,-0.262,-0.0626,-0.317,-0.0331,-0.14,KEEP
skewness_20d,波动率,-1,classic,-0.0246,-0.338,-0.0259,-0.345,-0.0208,-0.317,KEEP
max_drawdown_20d,波动率,-1,classic,0.0254,0.142,0.0305,0.175,0.0103,0.054,KEEP
max_drawdown_60d,波动率,-1,classic,0.0179,0.098,0.0246,0.133,-0.0004,-0.002,WEAK
atr_ratio,波动率,-1,classic,-0.073,-0.367,-0.0796,-0.427,-0.0536,-0.232,KEEP
pe_ttm,估值,-1,classic,-0.0219,-0.203,-0.0259,-0.232,-0.0102,-0.105,KEEP
pb,估值,-1,classic,-0.0429,-0.252,-0.048,-0.288,-0.028,-0.156,KEEP
roe,估值,1,classic,-0.0017,-0.027,-0.0022,-0.031,-0.0003,-0.008,WEAK
turnover_rate,流动性,-1,classic,-0.0743,-0.444,-0.0783,-0.497,-0.0625,-0.325,KEEP
turnover_rate_5d,流动性,-1,classic,-0.0704,-0.404,-0.0748,-0.453,-0.0575,-0.289,KEEP
turnover_rate_20d,流动性,-1,classic,-0.0625,-0.342,-0.0686,-0.4,-0.0444,-0.209,KEEP
north_net_inflow_ratio,聪明钱,1,classic,-0.008,-0.187,-0.0012,-0.039,-0.0279,-0.455,KEEP
profit_ratio_estimate,聪明钱,1,classic,-0.0384,-0.251,-0.034,-0.219,-0.0509,-0.35,KEEP
chip_concentration,聪明钱,-1,classic,-0.0398,-0.309,-0.0423,-0.333,-0.0324,-0.243,KEEP
vol_ratio,聪明钱,1,classic,-0.0488,-0.431,-0.045,-0.395,-0.06,-0.537,FLIP
beta_60d,防御,-1,classic,-0.0067,-0.033,-0.0136,-0.071,0.0139,0.064,WEAK
quality_score,防御,1,classic,0.0353,0.238,0.0388,0.261,0.0249,0.17,KEEP
low_turnover_flag,防御,1,classic,0.0401,0.278,0.0446,0.328,0.0268,0.162,KEEP
timeliness_decay,防御,1,classic,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
hot_money_score,复合,1,classic,-0.0597,-0.493,-0.0587,-0.482,-0.0628,-0.525,FLIP
strong_control_score,复合,1,classic,-0.0033,-0.028,-0.0003,-0.002,-0.0122,-0.118,WEAK
main_force_score,复合,1,classic,-0.0529,-0.397,-0.0521,-0.371,-0.0553,-0.503,FLIP
inter_quality_momentum,交叉,1,evo,-0.0221,-0.188,-0.0192,-0.161,-0.0308,-0.271,KEEP
inter_value_excess,交叉,1,evo,0.0066,0.04,0.0128,0.077,-0.0118,-0.072,WEAK
inter_chip_volume,交叉,1,evo,0.0158,0.128,0.0185,0.153,0.0077,0.061,WEAK
inter_smart_defense,交叉,1,evo,0.0298,0.227,0.0414,0.323,-0.0043,-0.032,KEEP
inter_overshoot_reversal,交叉,1,evo,0.0413,0.284,0.0377,0.254,0.0519,0.384,KEEP
triple_value_mom_quality,交叉,1,evo,0.0073,0.051,0.0118,0.083,-0.0059,-0.04,WEAK
inter_mom_skew_neg,交叉,1,evo,0.007,0.066,0.0092,0.087,0.0005,0.005,WEAK
inter_lowvol_profit,交叉,1,evo,0.0435,0.261,0.0496,0.301,0.0255,0.149,KEEP
inter_turnover_reversal,交叉,1,evo,-0.004,-0.024,-0.0087,-0.055,0.0101,0.057,WEAK
inter_chip_break_right,交叉,1,evo,-0.0474,-0.331,-0.0443,-0.302,-0.0564,-0.428,FLIP
surprise_price_vote,预期差,1,evo,-0.0372,-0.243,-0.034,-0.223,-0.0468,-0.301,KEEP
surprise_earnings_gap,预期差,1,evo,-0.0395,-0.652,-0.0397,-0.643,-0.0389,-0.678,FLIP
surprise_roe_qoq,预期差,1,evo,0.001,0.015,0.0014,0.021,-0.0005,-0.008,WEAK
graham_score,防御,1,evo,0.0177,0.141,0.0209,0.168,0.008,0.063,WEAK
text_sentiment_score,复合,1,evo,0.0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
